Delimiters (│) should align. [ALL+VS16+W/VS]
│──│═══════════════════
│☁️│ 0x2601+0xFE0F
│☂️│ 0x2602+0xFE0F
│☃️│ 0x2603+0xFE0F
│☄️│ 0x2604+0xFE0F
│☎️│ 0x260E+0xFE0F
│☑️│ 0x2611+0xFE0F
│☘️│ 0x2618+0xFE0F
│☝️│ 0x261D+0xFE0F
│☠️│ 0x2620+0xFE0F
│☢️│ 0x2622+0xFE0F
│☣️│ 0x2623+0xFE0F
│☦️│ 0x2626+0xFE0F
│☪️│ 0x262A+0xFE0F
│☮️│ 0x262E+0xFE0F
│☯️│ 0x262F+0xFE0F
│☸️│ 0x2638+0xFE0F
│☹️│ 0x2639+0xFE0F
│☺️│ 0x263A+0xFE0F
│♀️│ 0x2640+0xFE0F
│♂️│ 0x2642+0xFE0F
│♟️│ 0x265F+0xFE0F
│♠️│ 0x2660+0xFE0F
│♣️│ 0x2663+0xFE0F
│♥️│ 0x2665+0xFE0F
│♦️│ 0x2666+0xFE0F
│♨️│ 0x2668+0xFE0F
│♻️│ 0x267B+0xFE0F
│♾️│ 0x267E+0xFE0F
│⚒️│ 0x2692+0xFE0F
│⚔️│ 0x2694+0xFE0F
│⚕️│ 0x2695+0xFE0F
│⚖️│ 0x2696+0xFE0F
│⚗️│ 0x2697+0xFE0F
│⚙️│ 0x2699+0xFE0F
│⚛️│ 0x269B+0xFE0F
│⚜️│ 0x269C+0xFE0F
│⚠️│ 0x26A0+0xFE0F
│⚧️│ 0x26A7+0xFE0F
│⚰️│ 0x26B0+0xFE0F
│⚱️│ 0x26B1+0xFE0F
│⛈️│ 0x26C8+0xFE0F
│⛏️│ 0x26CF+0xFE0F
│⛑️│ 0x26D1+0xFE0F
│⛓️│ 0x26D3+0xFE0F
│⛩️│ 0x26E9+0xFE0F
│⛰️│ 0x26F0+0xFE0F
│⛱️│ 0x26F1+0xFE0F
│⛴️│ 0x26F4+0xFE0F
│⛷️│ 0x26F7+0xFE0F
│⛸️│ 0x26F8+0xFE0F
│⛹️│ 0x26F9+0xFE0F
│✂️│ 0x2702+0xFE0F
│✈️│ 0x2708+0xFE0F
│✉️│ 0x2709+0xFE0F
│✌️│ 0x270C+0xFE0F
│✍️│ 0x270D+0xFE0F
│✏️│ 0x270F+0xFE0F
│✒️│ 0x2712+0xFE0F
│✔️│ 0x2714+0xFE0F
│✖️│ 0x2716+0xFE0F
│✝️│ 0x271D+0xFE0F
│✡️│ 0x2721+0xFE0F
│✳️│ 0x2733+0xFE0F
│✴️│ 0x2734+0xFE0F
│❄️│ 0x2744+0xFE0F
│❇️│ 0x2747+0xFE0F
│❣️│ 0x2763+0xFE0F
│❤️│ 0x2764+0xFE0F
│➡️│ 0x27A1+0xFE0F
│⤴️│ 0x2934+0xFE0F
│⤵️│ 0x2935+0xFE0F
│⬅️│ 0x2B05+0xFE0F
