Delimiters (│) should align. [GRAPHEME w=3]
│───│═══════════════════
│𑄇𑄳𑄠𑄬│ 11107+11133+11120+1112C
│ꦤ꧀ꦭ│ A9A4+A9C0+A9AD
│ꦤ꧀ꦭꦶ│ A9A4+A9C0+A9AD+A9B6
│ꦤ꧀ꦭꦸ│ A9A4+A9C0+A9AD+A9B8
│ꦤ꧀ꦮ│ A9A4+A9C0+A9AE
│ꦤ꧀ꦮꦂ│ A9A4+A9C0+A9AE+A982
│ꦤ꧀ꦮꦶ│ A9A4+A9C0+A9AE+A9B6
│ꦤ꧀ꦮꦸ│ A9A4+A9C0+A9AE+A9B8
│ꦤ꧀ꦮꦼ│ A9A4+A9C0+A9AE+A9BC
│ꦤ꧀ꦱ│ A9A4+A9C0+A9B1
│ꦤ꧀ꦱꦂ│ A9A4+A9C0+A9B1+A982
│ꦤ꧀ꦱꦶ│ A9A4+A9C0+A9B1+A9B6
│ꦤ꧀ꦱꦶꦁ│ A9A4+A9C0+A9B1+A9B6+A981
│ꦤ꧀ꦱꦸ│ A9A4+A9C0+A9B1+A9B8
│ꦤ꧀ꦱꦼ│ A9A4+A9C0+A9B1+A9BC
│ꦤ꧀ꦲ│ A9A4+A9C0+A9B2
│ꦤ꧀ꦲꦁ│ A9A4+A9C0+A9B2+A981
│ꦤ꧀ꦲꦶ│ A9A4+A9C0+A9B2+A9B6
│ꦤ꧀ꦲꦶꦁ│ A9A4+A9C0+A9B2+A9B6+A981
│ꦤ꧀ꦲꦸ│ A9A4+A9C0+A9B2+A9B8
│ꦥ꧀ꦏ│ A9A5+A9C0+A98F
│ꦥ꧀ꦏꦁ│ A9A5+A9C0+A98F+A981
│ꦥ꧀ꦠ│ A9A5+A9C0+A9A0
│ꦥ꧀ꦠꦶ│ A9A5+A9C0+A9A0+A9B6
│ꦥ꧀ꦢꦸ│ A9A5+A9C0+A9A2+A9B8
│ꦥ꧀ꦤ│ A9A5+A9C0+A9A4
│ꦥ꧀ꦤꦶ│ A9A5+A9C0+A9A4+A9B6
│ꦥ꧀ꦥ│ A9A5+A9C0+A9A5
│ꦥ꧀ꦥꦶ│ A9A5+A9C0+A9A5+A9B6
│ꦥ꧀ꦩ│ A9A5+A9C0+A9A9
│ꦥ꧀ꦩꦂ│ A9A5+A9C0+A9A9+A982
│ꦥ꧀ꦭ│ A9A5+A9C0+A9AD
│ꦥ꧀ꦭꦸ│ A9A5+A9C0+A9AD+A9B8
│ꦥ꧀ꦱ│ A9A5+A9C0+A9B1
│ꦥ꧀ꦱꦶꦂ│ A9A5+A9C0+A9B1+A9B6+A982
│ꦥ꧀ꦱꦼ│ A9A5+A9C0+A9B1+A9BC
│ꦥ꧀ꦲ│ A9A5+A9C0+A9B2
│ꦧ꧀ꦏ│ A9A7+A9C0+A98F
│ꦧ꧀ꦠꦸ│ A9A7+A9C0+A9A0+A9B8
│ꦧ꧀ꦥ│ A9A7+A9C0+A9A5
│ꦧ꧀ꦧ│ A9A7+A9C0+A9A7
│ꦧ꧀ꦲ│ A9A7+A9C0+A9B2
│ꦧ꧀ꦲꦶ│ A9A7+A9C0+A9B2+A9B6
│ꦩ꧀ꦏꦁ│ A9A9+A9C0+A98F+A981
│ꦩ꧀ꦔꦼ│ A9A9+A9C0+A994+A9BC
│ꦩ꧀ꦠꦸ│ A9A9+A9C0+A9A0+A9B8
│ꦩ꧀ꦤꦶꦁ│ A9A9+A9C0+A9A4+A9B6+A981
│ꦩ꧀ꦥ│ A9A9+A9C0+A9A5
│ꦩ꧀ꦥꦶ│ A9A9+A9C0+A9A5+A9B6
│ꦩ꧀ꦥꦸ│ A9A9+A9C0+A9A5+A9B8
│ꦩ꧀ꦥꦼ│ A9A9+A9C0+A9A5+A9BC
│ꦩ꧀ꦧ│ A9A9+A9C0+A9A7
│ꦩ꧀ꦧꦁ│ A9A9+A9C0+A9A7+A981
│ꦩ꧀ꦧꦂ│ A9A9+A9C0+A9A7+A982
│ꦩ꧀ꦧꦶ│ A9A9+A9C0+A9A7+A9B6
│ꦩ꧀ꦧꦸ│ A9A9+A9C0+A9A7+A9B8
│ꦩ꧀ꦧꦸꦁ│ A9A9+A9C0+A9A7+A9B8+A981
│ꦩ꧀ꦧꦼꦂ│ A9A9+A9C0+A9A7+A9BC+A982
│ꦩ꧀ꦩ│ A9A9+A9C0+A9A9
│ꦩ꧀ꦩꦶ│ A9A9+A9C0+A9A9+A9B6
│ꦩ꧀ꦫ│ A9A9+A9C0+A9AB
│ꦩ꧀ꦭ│ A9A9+A9C0+A9AD
│ꦩ꧀ꦲꦶ│ A9A9+A9C0+A9B2+A9B6
│ꦭ꧀ꦏꦁ│ A9AD+A9C0+A98F+A981
│ꦭ꧀ꦚꦼꦁ│ A9AD+A9C0+A99A+A9BC+A981
│ꦭ꧀ꦠꦸ│ A9AD+A9C0+A9A0+A9B8
│ꦭ꧀ꦧꦸ│ A9AD+A9C0+A9A7+A9B8
│ꦭ꧀ꦩꦸ│ A9AD+A9C0+A9A9+A9B8
│ꦭ꧀ꦭ│ A9AD+A9C0+A9AD
│ꦭ꧀ꦭꦶ│ A9AD+A9C0+A9AD+A9B6
│ꦭ꧀ꦭꦶꦁ│ A9AD+A9C0+A9AD+A9B6+A981
│ꦭ꧀ꦮ│ A9AD+A9C0+A9AE
│ꦭ꧀ꦱ│ A9AD+A9C0+A9B1
│ꦭ꧀ꦱꦂ│ A9AD+A9C0+A9B1+A982
│ꦭ꧀ꦱꦶꦁ│ A9AD+A9C0+A9B1+A9B6+A981
│ꦭ꧀ꦱꦸ│ A9AD+A9C0+A9B1+A9B8
│ꦭ꧀ꦲ│ A9AD+A9C0+A9B2
